year,name,author,genre,price,quantity,url
2003,Remember My Name,F. Scott Fitzgerald,Technology,34,92,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1984,"Show of Force, A",Mark Twain,Biography,49,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2001,Michael Jordan to the Max,Harper Lee,Science Fiction,39,10,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2010,Psychosis,J.K. Rowling,Science Fiction,52,88,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2011,"Children's Hour, The",F. Scott Fitzgerald,Graphic Novels,90,25,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1994,"Legend of Bagger Vance, The",Agatha Christie,Technology,70,20,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1995,Footloose,Jane Austen,Biography,83,79,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2011,Space Pirate Captain Harlock: Arcadia of My Youth (Waga seishun no Arcadia),Stephen King,Travel,87,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1990,Riverworld,Agatha Christie,Mystery,35,48,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1996,Cats Don't Dance,Mark Twain,Historical Fiction,72,43,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1995,Feast of All Saints,Virginia Woolf,Graphic Novels,42,62,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1988,The Tattooist,Virginia Woolf,Poetry,40,83,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1999,Leo the Last,Ernest Hemingway,Young Adult,71,12,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1985,Savage Messiah,Charles Dickens,Biography,16,82,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2012,Movie Days (Bíódagar),Charles Dickens,Horror,59,9,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2009,"James Dean Story, The",Harper Lee,Horror,15,53,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1992,Keoma,Charles Dickens,Young Adult,33,86,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1984,Journey to Saturn (Rejsen til Saturn),Harper Lee,Science Fiction,72,55,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1985,"Kill, Baby, Kill (Operazione paura)",Ernest Hemingway,Historical Fiction,9,36,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2001,Passenger Side,J.R.R. Tolkien,Self-Help,99,64,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,Poltergeist,Charles Dickens,Fiction,20,52,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1991,"Clan of the Cave Bear, The",J.R.R. Tolkien,Fiction,73,38,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1999,Tekken,F. Scott Fitzgerald,Thriller,54,62,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1994,After Tiller,Agatha Christie,Horror,84,74,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2011,Broken English,J.R.R. Tolkien,Biography,10,65,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2008,Women Art Revolution,William Shakespeare,Technology,7,79,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2012,Meatballs 4,J.K. Rowling,Fiction,36,67,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1998,This Above All,Jane Austen,Self-Help,47,25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1990,Friday the 13th Part 3: 3D,Mark Twain,Cookbooks,40,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1987,Outside Providence,Jane Austen,Historical Fiction,7,55,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2010,Bouncing Babies,F. Scott Fitzgerald,Travel,60,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2005,About Cherry,Harper Lee,Fantasy,94,75,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2001,"Caine Mutiny Court-Martial, The",J.R.R. Tolkien,Horror,59,83,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2003,Beyond the Sea,William Shakespeare,Graphic Novels,3,55,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1999,"Good Wife, The",F. Scott Fitzgerald,Technology,73,72,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2000,Meet Bill,Charles Dickens,Fantasy,4,59,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1953,Blacksmith Scene,Harper Lee,Self-Help,30,51,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2006,Dragon Ball Z: Bio-Broly (Doragon bôru Z 11: Sûpâ senshi gekiha! Katsu no wa ore da),Ernest Hemingway,Children's,77,66,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2001,Dirty Mary Crazy Larry,Agatha Christie,Horror,8,59,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2001,"Temptations, The",Ernest Hemingway,Graphic Novels,46,20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1992,Nom de code : Rose,George Orwell,Science,92,10,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2000,Lemora: A Child's Tale of the Supernatural,F. Scott Fitzgerald,Young Adult,5,45,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2006,"Dark Lurking, The",Stephen King,Travel,13,20,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1998,Monty Python's The Meaning of Life,J.K. Rowling,Science,1,10,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1994,Palo Alto,J.R.R. Tolkien,Historical Fiction,6,83,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1996,"Mountain, The",Charles Dickens,Autobiography,53,52,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2006,Deciduous Tree (Tree Without Leaves) (Rakuyôju),Jane Austen,Biography,78,95,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1970,Tsotsi,Agatha Christie,Graphic Novels,70,53,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1989,My Wife is an Actress (Ma Femme est une Actrice),William Shakespeare,Mystery,50,31,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2008,Cromwell,J.K. Rowling,Science,1,15,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2011,Pretty Bird,William Shakespeare,Cookbooks,53,94,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2012,Rhapsody in August (Hachi-gatsu no kyôshikyoku),Agatha Christie,Autobiography,26,81,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2004,Divine Madness!,Jane Austen,Children's,76,32,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1999,Fat Girl (À ma soeur!),William Shakespeare,Mystery,20,91,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2001,Temptress Moon (Feng Yue),Charles Dickens,Mystery,24,48,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2008,Fate Is the Hunter,J.K. Rowling,Poetry,18,34,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1988,Liberal Arts,Mark Twain,Young Adult,30,64,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1987,"House of Small Cubes, The (Tsumiki no ie)",J.K. Rowling,Thriller,30,78,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2009,Mais qui a tué Pamela Rose?,Ernest Hemingway,Autobiography,41,30,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1996,Oklahoma!,Ernest Hemingway,Fiction,8,92,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2011,You Can't Win 'Em All,Ernest Hemingway,Children's,33,17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1993,Blackmailed,Harper Lee,Cookbooks,27,82,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1994,"Room for Romeo Brass, A",J.R.R. Tolkien,Science,27,45,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1992,Beethoven,J.K. Rowling,Fiction,95,38,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1999,"Great Gatsby, The",F. Scott Fitzgerald,Non-Fiction,5,63,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2001,Scusa ma ti chiamo amore,Stephen King,Thriller,60,71,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1992,No Looking Back,Stephen King,Biography,81,67,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1985,"Memphis Belle: A Story of a Flying Fortress, The",Virginia Woolf,Young Adult,36,19,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2004,"Anarchist Cookbook, The",Charles Dickens,Children's,92,40,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1955,Terra (a.k.a. Battle for Terra),J.K. Rowling,Cookbooks,32,18,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2010,Grey Gardens,Jane Austen,Historical Fiction,76,35,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1995,Fear No Evil,Harper Lee,Travel,74,86,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1989,Kiss Me Again,Virginia Woolf,Science,57,44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2011,Route 666,J.R.R. Tolkien,Science Fiction,29,79,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2008,Captain Blood,George Orwell,Non-Fiction,56,72,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1996,Gorillas in the Mist,Virginia Woolf,Poetry,5,55,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
1986,My Wrongs 8245-8249 and 117,Virginia Woolf,Romance,56,44,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,Solomon Northup's Odyssey,J.R.R. Tolkien,Self-Help,40,75,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2003,Hella W,F. Scott Fitzgerald,Romance,60,37,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1999,EMR,Mark Twain,Romance,97,63,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1992,CSNY Déjà Vu,Jane Austen,Poetry,23,30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1997,Sun Alley (Sonnenallee),Ernest Hemingway,Biography,98,84,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2004,Class of 1984,J.R.R. Tolkien,Science Fiction,16,13,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1993,Trans-Europ-Express,J.R.R. Tolkien,Non-Fiction,4,5,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2010,Isabelle au bois dormant,Charles Dickens,Mystery,64,42,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1971,Charles Bradley: Soul of America,F. Scott Fitzgerald,Romance,92,78,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2003,"Arise, My Love",Jane Austen,Horror,64,64,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2005,Goldengirl,Harper Lee,Fantasy,55,64,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2009,"Last Temptation of Christ, The",J.K. Rowling,Travel,37,99,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,"Boogeyman, The",Stephen King,Fiction,49,49,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1986,Crimi Clowns: De Movie,William Shakespeare,Fantasy,52,84,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1994,Fingers at the Window,F. Scott Fitzgerald,Science,5,1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1996,Four Christmases,Stephen King,Self-Help,24,94,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2004,Man of the East,J.K. Rowling,Cookbooks,23,36,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1998,Hot Lead and Cold Feet,J.K. Rowling,Historical Fiction,83,77,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1994,Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,F. Scott Fitzgerald,Autobiography,3,30,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1996,Safe Conduct (Laissez-Passer),F. Scott Fitzgerald,Self-Help,96,40,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2009,Tucker: The Man and His Dream,Agatha Christie,Children's,36,48,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2004,Bronson,J.R.R. Tolkien,Romance,45,39,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2009,Bill Hicks: Sane Man,Agatha Christie,Cookbooks,68,15,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2004,"Sea Wolf, The",Virginia Woolf,Young Adult,93,36,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1997,Frankenstein Must Be Destroyed,Charles Dickens,Technology,26,74,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
1994,Flash Gordon Conquers the Universe,J.K. Rowling,Young Adult,50,35,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1984,Jesse Stone: Benefit of the Doubt,F. Scott Fitzgerald,Technology,94,91,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2009,Space,Mark Twain,Horror,79,77,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1995,"Light Bulb Conspiracy, The",J.K. Rowling,Travel,48,98,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2005,Strange Magic,Virginia Woolf,Horror,66,50,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1993,Nazty Nuisance,Ernest Hemingway,Science Fiction,80,37,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2012,Toy Story Toons: Hawaiian Vacation,Virginia Woolf,Non-Fiction,16,21,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1991,Bombón: El Perro (El perro),Mark Twain,Graphic Novels,36,88,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1999,Guadalcanal Diary,Charles Dickens,Biography,37,75,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1992,Dream With the Fishes,F. Scott Fitzgerald,Mystery,54,88,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
2010,West Is West,J.K. Rowling,Mystery,52,66,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1993,Southern District (Zona Sur),Jane Austen,Mystery,81,89,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2008,Shooter,Virginia Woolf,Autobiography,67,5,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2011,Nowhere in Africa (Nirgendwo in Afrika),Harper Lee,Fantasy,2,35,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
1997,"Money Pit, The",Jane Austen,Self-Help,17,57,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2007,Masti,Charles Dickens,Thriller,64,77,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2002,Val Lewton:  The Man in the Shadows,Stephen King,Non-Fiction,26,26,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2011,Turbulence,Mark Twain,Travel,92,62,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2002,Punk in London,Stephen King,Biography,67,35,https://rocketexpansion.com/wp-content/uploads/2021/05/All-This-Time-1.webp
2009,Corn Island (Simindis kundzuli),J.K. Rowling,Non-Fiction,70,22,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2000,Dream Boy,George Orwell,Thriller,42,28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
2001,How to Make Money Selling Drugs,Harper Lee,Fantasy,30,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgJ0IdjIY0rFsEcZxhuQUuyF2T-WpvyD7bgQ&s
1965,Kin-Dza-Dza!,J.K. Rowling,Children's,87,10,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
2013,Cesar & Rosalie (César et Rosalie),Stephen King,Biography,66,54,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1993,Tess of the Storm Country,Stephen King,Fiction,19,70,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2009,Guilty (Présumé coupable),George Orwell,Biography,67,93,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2005,Case 39,J.R.R. Tolkien,Travel,73,19,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
1999,True Legend (Su Qi-Er),F. Scott Fitzgerald,Biography,46,15,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPC7MiAP-uBaqJMxAaJfuKv0j24LpL3ac60Q&s
2012,Flipper,Charles Dickens,Science,16,63,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1987,Leontine,George Orwell,Thriller,75,7,https://images.squarespace-cdn.com/content/v1/58faa30ee6f2e151cda11af0/1555441984342-GNQZBM2CF312BQTYRBDB/1-art-by-Jenny-Wine.jpg
2004,"Life and Death of Peter Sellers, The",Harper Lee,Technology,64,51,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1984,Valley of the Dolls,F. Scott Fitzgerald,Young Adult,86,99,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2001,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die)",Agatha Christie,Fiction,11,43,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
1994,"Stranger in Me, The (Das Fremde in mir)",Harper Lee,Mystery,23,41,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2010,Green Fish (Chorok mulkogi),Agatha Christie,Fiction,31,40,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
1992,"Canal, The",Stephen King,Mystery,94,32,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
1997,Following Sean,Mark Twain,Travel,49,25,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1992,"Circus, The",George Orwell,Thriller,65,92,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
1993,"Door in the Floor, The",Jane Austen,Science Fiction,62,34,https://www.writersandartists.co.uk/sites/default/files/advice/old/admin_1-asset-5afa9df219116.JPG
2003,In Football We Trust,J.R.R. Tolkien,Self-Help,5,67,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2012,Bananas!*,Virginia Woolf,Technology,27,59,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1990,"Curse of the Hedgehog, The (Blestemul ariciului)",F. Scott Fitzgerald,Science,37,66,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1992,Tapestries of Hope,Stephen King,Mystery,31,16,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2004,Backlight,Stephen King,Non-Fiction,12,12,https://cdn.pastemagazine.com/www/articles/2019/12/06/cryingbookbbc19final.jpg
1999,Maniacts,Virginia Woolf,Non-Fiction,18,51,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
2011,Skinwalkers,J.R.R. Tolkien,Biography,76,28,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqdrTE48t1LU-yMIN9YTP3KEPUejKkNKZs2w&s
2004,"Wild Thornberrys Movie, The",Harper Lee,Mystery,54,79,https://mir-s3-cdn-cf.behance.net/project_modules/hd/f9032d95512093.5e98ee7241eab.jpg
2007,Twice in a Lifetime,William Shakespeare,Thriller,3,1,https://5.imimg.com/data5/SELLER/Default/2020/9/YS/FJ/XX/26798013/book-covers-designing-service-500x500.jpg
1994,Murder on a Sunday Morning (Un coupable idéal),George Orwell,Science,93,83,https://rocketexpansion.com/wp-content/uploads/2021/05/The-Wicked-King-Holly-Black.jpg
2010,"Christmas Story 2, A",Agatha Christie,Horror,3,20,https://marketplace.canva.com/EAFXKFIDad4/1/0/1003w/canva-brown-mystery-novel-book-cover-cSu1pdo96zA.jpg
